cohort,cohort_q,base_period,base_period_q,time,time_q,att,std_error,ci_low,ci_high,signif
9,2012Q1,8,2011Q4,48,2021Q4,0.08231251635196131,0.022158176187412865,0.038883289061539046,0.12574174364238358,*
9,2012Q1,8,2011Q4,49,2022Q1,0.07891536472620965,0.022334729398977574,0.035140099499765674,0.12269062995265362,*
9,2012Q1,8,2011Q4,50,2022Q2,0.08848191369429342,0.022597507441921665,0.044191612967751114,0.13277221442083573,*
9,2012Q1,8,2011Q4,51,2022Q3,0.09423387376388144,0.022838651182612232,0.04947093999048835,0.13899680753727453,*
9,2012Q1,8,2011Q4,52,2022Q4,0.09004156046405716,0.023511382727762,0.04396009709090654,0.13612302383720778,*
9,2012Q1,8,2011Q4,53,2023Q1,0.09038188701768632,0.023834086083958976,0.04366793668869943,0.13709583734667322,*
9,2012Q1,8,2011Q4,54,2023Q2,0.09197622723394701,0.024363591790464306,0.044224464790601235,0.13972798967729277,*
9,2012Q1,8,2011Q4,55,2023Q3,0.09303314883644269,0.024570565797396207,0.04487572479377445,0.14119057287911094,*
9,2012Q1,8,2011Q4,56,2023Q4,0.09698139779354085,0.024892098734812185,0.04819378077369393,0.14576901481338778,*
9,2012Q1,8,2011Q4,57,2024Q1,0.10244317835017376,0.024674957122619173,0.0540811510697701,0.15080520563057742,*
9,2012Q1,8,2011Q4,58,2024Q2,0.09551692520821028,0.024369287240133312,0.0477539998886375,0.14327985052778308,*
9,2012Q1,8,2011Q4,59,2024Q3,0.09484970136987837,0.024656736768936954,0.04652338532647744,0.1431760174132793,*
9,2012Q1,8,2011Q4,60,2024Q4,0.08742818636639574,0.02460219596916575,0.03920876832623438,0.1356476044065571,*
9,2012Q1,8,2011Q4,61,2025Q1,0.1018194827966334,0.024933339130721634,0.05295103608609578,0.15068792950717103,*
9,2012Q1,8,2011Q4,62,2025Q2,0.09829998491398584,0.024874705796614716,0.04954645742659128,0.1470535124013804,*
9,2012Q1,8,2011Q4,63,2025Q3,0.09834905328640511,0.025174033086351216,0.04900885509153703,0.1476892514812732,*
9,2012Q1,8,2011Q4,64,2025Q4,0.09849426285820505,0.02544223951183273,0.04862838972897097,0.14836013598743913,*
13,2013Q1,1,2010Q1,2,2010Q2,0.00011904373884603632,0.0027006277816785506,-0.005174089448892223,0.005412176926584296,
13,2013Q1,2,2010Q2,3,2010Q3,0.0020468927514244893,0.000963357225531453,0.00015874728513641133,0.003935038217712567,*
13,2013Q1,3,2010Q3,4,2010Q4,-0.010865337259789687,0.0011453894053488644,-0.01311025924254721,-0.008620415277032164,*
13,2013Q1,4,2010Q4,5,2011Q1,-0.004330570185185479,0.0037273725118536116,-0.011636086065383154,0.002974945695012196,
13,2013Q1,5,2011Q1,6,2011Q2,-0.004809414661217382,0.0028355394068538373,-0.01036696977539497,0.0007481404529602062,
13,2013Q1,6,2011Q2,7,2011Q3,0.001749813191878702,0.0011113288387868086,-0.0004283513071241629,0.003927977690881566,
13,2013Q1,7,2011Q3,8,2011Q4,-0.0037906140199076782,0.0015480929931295966,-0.0068248205311605015,-0.0007564075086548554,*
13,2013Q1,8,2011Q4,9,2012Q1,-0.0032265014286760206,0.004020440875010407,-0.011106420745669119,0.004653417888317079,
13,2013Q1,9,2012Q1,10,2012Q2,0.00015388636758224562,0.0014871153697454645,-0.0027608061979748307,0.003068578933139322,
13,2013Q1,10,2012Q2,11,2012Q3,-0.0014540399615170952,0.002793076896783146,-0.006928370085262959,0.004020290162228769,
13,2013Q1,11,2012Q3,12,2012Q4,-0.0013191424144731734,0.003135828747183039,-0.007465253820637289,0.004826968991690942,
13,2013Q1,12,2012Q4,13,2013Q1,0.0007175560387289614,0.0009596036431409508,-0.0011632325412607287,0.0025983446187186517,
13,2013Q1,12,2012Q4,14,2013Q2,0.0020019744648790637,0.0033450618749447506,-0.0045542263360706745,0.008558175265828801,
13,2013Q1,12,2012Q4,15,2013Q3,0.0019871476496866607,0.005040007154972603,-0.007891084855883825,0.011865380155257146,
13,2013Q1,12,2012Q4,16,2013Q4,0.004359407107503666,0.007723907428952455,-0.010779173273164511,0.019497987488171845,
13,2013Q1,12,2012Q4,17,2014Q1,0.005986988131968962,0.0072730117657999185,-0.008267852988134941,0.020241829252072865,
13,2013Q1,12,2012Q4,18,2014Q2,0.004323233974744656,0.00778530286023788,-0.01093567924005826,0.019582147189547573,
13,2013Q1,12,2012Q4,19,2014Q3,-0.0006700756819655763,0.007554570138822035,-0.01547676107273852,0.014136609708807367,
13,2013Q1,12,2012Q4,20,2014Q4,0.0010037040996753851,0.009187531325953544,-0.017003526406027092,0.01901093460537786,
13,2013Q1,12,2012Q4,21,2015Q1,-0.006898997848118826,0.007898926605855252,-0.022380609512120328,0.008582613815882678,
13,2013Q1,12,2012Q4,22,2015Q2,-0.005617444955851945,0.009996620280449158,-0.02521046067265499,0.0139755707609511,
13,2013Q1,12,2012Q4,23,2015Q3,-0.007268169991169081,0.009209746982261303,-0.025318942383127683,0.010782602400789518,
13,2013Q1,12,2012Q4,24,2015Q4,-0.0071483766881109915,0.00939228886542547,-0.025556924596741477,0.011260171220519496,
13,2013Q1,12,2012Q4,25,2016Q1,-0.007760287134494235,0.01068523027856531,-0.02870295364699913,0.013182379378010664,
13,2013Q1,12,2012Q4,26,2016Q2,-0.005201251555927101,0.010931580681939381,-0.02662675598662209,0.01622425287476789,
13,2013Q1,12,2012Q4,27,2016Q3,-0.010634953935438007,0.012208171505720568,-0.03456253040373844,0.013292622532862428,
